problem_id,description,name,tag,difficulty,try_count,accepted_count
0,"
Score : 200 points


Problem StatementAn integer N is a multiple of 9 if and only if the sum of the digits in the decimal representation of N is a multiple of 9.
Determine whether N is a multiple of 9.




Constraints
0 \leq N < 10^{200000}
N is an integer.







InputInput is given from Standard Input in the following format:
N





OutputIf N is a multiple of 9, print Yes; otherwise, print No.






Sample Input 1123456789





Sample Output 1Yes

The sum of these digits is 1+2+3+4+5+6+7+8+9=45, which is a multiple of 9, so 123456789 is a multiple of 9.





Sample Input 20





Sample Output 2Yes






Sample Input 331415926535897932384626433832795028841971693993751058209749445923078164062862089986280





Sample Output 3No


",Multiple of 9,"String, Bruteforcing, Implementation, Arithmetic",0.729,774,480
1,"
Score : 300 points


Problem StatementN persons are standing in a row. The height of the i-th person from the front is A_i.
We want to have each person stand on a stool of some heights - at least zero - so that the following condition is satisfied for every person:
Condition: Nobody in front of the person is taller than the person. Here, the height of a person includes the stool.
Find the minimum total height of the stools needed to meet this goal.




Constraints
1 \leq N \leq 2\times 10^5
1 \leq A_i \leq 10^9
All values in input are integers.







InputInput is given from Standard Input in the following format:
N
A_1 \ldots A_N





OutputPrint the minimum total height of the stools needed to meet the goal.






Sample Input 15
2 1 5 4 3





Sample Output 14

If the persons stand on stools of heights 0, 1, 0, 1, and 2, respectively, their heights will be 2, 2, 5, 5, and 5, satisfying the condition.
We cannot meet the goal with a smaller total height of the stools.





Sample Input 25
3 3 3 3 3





Sample Output 20

Giving a stool of height 0 to everyone will work.

",Step,"Greedy Algorithm, Implementation, Array, Arithmetic",0.525,856,435
2,"
Score : 400 points


Problem StatementA maze is composed of a grid of H \times W squares - H vertical, W horizontal.
The square at the i-th row from the top and the j-th column from the left - (i,j) - is a wall if S_{ij} is # and a road if S_{ij} is ..
There is a magician in (C_h,C_w). He can do the following two kinds of moves:

Move A: Walk to a road square that is vertically or horizontally adjacent to the square he is currently in.
Move B: Use magic to warp himself to a road square in the 5\times 5 area centered at the square he is currently in.

In either case, he cannot go out of the maze.
At least how many times does he need to use the magic to reach (D_h, D_w)?




Constraints
1 \leq H,W \leq 10^3
1 \leq C_h,D_h \leq H
1 \leq C_w,D_w \leq W
S_{ij} is # or ..
S_{C_h C_w} and S_{D_h D_w} are ..
(C_h,C_w) \neq (D_h,D_w)







InputInput is given from Standard Input in the following format:
H W
C_h C_w
D_h D_w
S_{11}\ldots S_{1W}
\vdots
S_{H1}\ldots S_{HW}





OutputPrint the minimum number of times the magician needs to use the magic. If he cannot reach (D_h,D_w), print -1 instead.






Sample Input 14 4
1 1
4 4
..#.
..#.
.#..
.#..





Sample Output 11

For example, by walking to (2,2) and then using the magic to travel to (4,4), just one use of magic is enough.
Note that he cannot walk diagonally.





Sample Input 24 4
1 4
4 1
.##.
####
####
.##.





Sample Output 2-1

He cannot move from there.





Sample Input 34 4
2 2
3 3
....
....
....
....





Sample Output 30

No use of magic is needed.





Sample Input 44 5
1 2
2 5
#.###
####.
#..##
#..##





Sample Output 42


",Wizard in Maze,"Graph Theory, Breadth-first Search, Breadth-first Search, Graph Traversal, Array, Deque",0.335,587,169
3,"
Score : 300 points


Problem StatementThere are N squares arranged in a row from left to right.
The height of the i-th square from the left is H_i.
You will land on a square of your choice, then repeat moving to the adjacent square on the right as long as the height of the next square is not greater than that of the current square.
Find the maximum number of times you can move.




Constraints
All values in input are integers.
1 \leq N \leq 10^5
1 \leq H_i \leq 10^9







InputInput is given from Standard Input in the following format:
N
H_1 H_2 ... H_N





OutputPrint the maximum number of times you can move.






Sample Input 15
10 4 8 7 3





Sample Output 12

By landing on the third square from the left, you can move to the right twice.





Sample Input 27
4 4 5 6 6 5 5





Sample Output 23

By landing on the fourth square from the left, you can move to the right three times.





Sample Input 34
1 2 3 4





Sample Output 30


",Lower,"Bruteforcing, Greedy Algorithm, Sliding Window, Boolean Operations On Geometric Objects",0.608,504,249
4,"
Score : 100 points


Problem StatementTakahashi is meeting up with Aoki.
They have planned to meet at a place that is D meters away from Takahashi's house in T minutes from now.
Takahashi will leave his house now and go straight to the place at a speed of S meters per minute.
Will he arrive in time?




Constraints
1 \leq D \leq 10000
1 \leq T \leq 10000
1 \leq S \leq 10000
All values in input are integers.







InputInput is given from Standard Input in the following format:
D T S





OutputIf Takahashi will reach the place in time, print Yes; otherwise, print No.






Sample Input 11000 15 80





Sample Output 1Yes

It takes 12.5 minutes to go 1000 meters to the place at a speed of 80 meters per minute. They have planned to meet in 15 minutes so he will arrive in time.





Sample Input 22000 20 100





Sample Output 2Yes

It takes 20 minutes to go 2000 meters to the place at a speed of 100 meters per minute. They have planned to meet in 20 minutes so he will arrive just on time.





Sample Input 310000 1 1





Sample Output 3No

He will be late.

",Don't be late,"Arithmetic, Implementation",0.607,1005,514
5,"
Score : 200 points


Problem StatementGiven are two strings S and T.
Let us change some of the characters in S so that T will be a substring of S.
At least how many characters do we need to change?
Here, a substring is a consecutive subsequence. For example, xxx is a substring of yxxxy, but not a substring of xxyxx.




Constraints
The lengths of S and T are each at least 1 and at most 1000.
The length of T is at most that of S.
S and T consist of lowercase English letters.







InputInput is given from Standard Input in the following format:
S
T





OutputPrint the minimum number of characters in S that need to be changed.






Sample Input 1cabacc
abc





Sample Output 11

For example, changing the fourth character a in S to c will match the second through fourth characters in S to T.
Since S itself does not have T as its substring, this number of changes - one - is the minimum needed.





Sample Input 2codeforces
atcoder





Sample Output 26


",Substring,"Sliding Window, String, Counting, Mathematics",0.507,794,400
6,"
Score : 300 points


Problem StatementYou have a pot and N ingredients. Each ingredient has a real number parameter called value, and the value of the i-th ingredient (1 \leq i \leq N) is v_i.
When you put two ingredients in the pot, they will vanish and result in the formation of a new ingredient. The value of the new ingredient will be (x + y) / 2 where x and y are the values of the ingredients consumed, and you can put this ingredient again in the pot.
After you compose ingredients in this way N-1 times, you will end up with one ingredient. Find the maximum possible value of this ingredient.




Constraints
2 \leq N \leq 50
1 \leq v_i \leq 1000
All values in input are integers.







InputInput is given from Standard Input in the following format:
N
v_1 v_2 \ldots v_N





OutputPrint a decimal number (or an integer) representing the maximum possible value of the last ingredient remaining.
Your output will be judged correct when its absolute or relative error from the judge's output is at most 10^{-5}.






Sample Input 12
3 4





Sample Output 13.5

If you start with two ingredients, the only choice is to put both of them in the pot. The value of the ingredient resulting from the ingredients of values 3 and 4 is (3 + 4) / 2 = 3.5.
Printing 3.50001, 3.49999, and so on will also be accepted.





Sample Input 23
500 300 200





Sample Output 2375

You start with three ingredients this time, and you can choose what to use in the first composition. There are three possible choices:

Use the ingredients of values 500 and 300 to produce an ingredient of value (500 + 300) / 2 = 400. The next composition will use this ingredient and the ingredient of value 200, resulting in an ingredient of value (400 + 200) / 2 = 300.
Use the ingredients of values 500 and 200 to produce an ingredient of value (500 + 200) / 2 = 350. The next composition will use this ingredient and the ingredient of value 300, resulting in an ingredient of value (350 + 300) / 2 = 325.
Use the ingredients of values 300 and 200 to produce an ingredient of value (300 + 200) / 2 = 250. The next composition will use this ingredient and the ingredient of value 500, resulting in an ingredient of value (250 + 500) / 2 = 375.

Thus, the maximum possible value of the last ingredient remaining is 375.
Printing 375.0 and so on will also be accepted.





Sample Input 35
138 138 138 138 138





Sample Output 3138


",Alchemist,"Sorting, Greedy Algorithm, Recursion, Arithmetic",0.726,397,267
7,"
Score : 300 points


Problem StatementGiven are N integers A_1,\ldots,A_N.
Find the sum of A_i \times A_j over all pairs (i,j) such that 1\leq i < j \leq N, modulo (10^9+7).




Constraints
2 \leq N \leq 2\times 10^5
0 \leq A_i \leq 10^9
All values in input are integers.







InputInput is given from Standard Input in the following format:
N
A_1 \ldots A_N





OutputPrint \sum_{i=1}^{N-1}\sum_{j=i+1}^{N} A_i A_j, modulo (10^9+7).






Sample Input 13
1 2 3





Sample Output 111

We have 1 \times 2 + 1 \times 3 + 2 \times 3 = 11.





Sample Input 24
141421356 17320508 22360679 244949





Sample Output 2437235829


",Sum of product of pairs,"Arithmetic, Mathematics, Prefix sum, Array",0.234,1251,329
8,"
Score : 400 points


Problem StatementThere are N persons called Person 1 through Person N.
You are given M facts that ""Person A_i and Person B_i are friends."" The same fact may be given multiple times.
If X and Y are friends, and Y and Z are friends, then X and Z are also friends. There is no friendship that cannot be derived from the M given facts.
Takahashi the evil wants to divide the N persons into some number of groups so that every person has no friend in his/her group.
At least how many groups does he need to make?




Constraints
2 \leq N \leq 2\times 10^5
0 \leq M \leq 2\times 10^5
1\leq A_i,B_i\leq N
A_i \neq B_i







InputInput is given from Standard Input in the following format:
N M
A_1 B_1
\vdots
A_M B_M





OutputPrint the answer.






Sample Input 15 3
1 2
3 4
5 1





Sample Output 13

Dividing them into three groups such as \{1,3\}, \{2,4\}, and \{5\} achieves the goal.





Sample Input 24 10
1 2
2 1
1 2
2 1
1 2
1 3
1 4
2 3
2 4
3 4





Sample Output 24






Sample Input 310 4
3 1
4 1
5 9
2 6





Sample Output 33


",Friends,"Graph Theory, Depth-first Search, Disjoint Set, Counting, Mathematics",0.59,512,219
9,"
Score : 300 points


Problem StatementThere is an integer sequence A of length N whose values are unknown.
Given is an integer sequence B of length N-1 which is known to satisfy the following:
 B_i \geq \max(A_i, A_{i+1}) 
Find the maximum possible sum of the elements of A.




Constraints
All values in input are integers.
2 \leq N \leq 100
0 \leq B_i \leq 10^5







InputInput is given from Standard Input in the following format:
N
B_1 B_2 ... B_{N-1}





OutputPrint the maximum possible sum of the elements of A.






Sample Input 13
2 5





Sample Output 19

A can be, for example, ( 2 , 1 , 5 ), ( -1 , -2 , -3 ), or ( 2 , 2 , 5 ). Among those candidates, A = ( 2 , 2 , 5 ) has the maximum possible sum.





Sample Input 22
3





Sample Output 26






Sample Input 36
0 153 10 10 23





Sample Output 353


",Maximal Value,"Greedy Algorithm, Array, Bruteforcing, Dynamic Programming",0.824,297,221
